key,country,name,native_name,capital,population,timezone_utc,timezone_iana
IS-FLA,IS,Flóahreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-FLR,IS,Fljótsdalshreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-GAR,IS,Garðabær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-GOG,IS,Grímsnes- og Grafningshreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-GRN,IS,Grindavíkurbær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-GRU,IS,Grundarfjarðarbær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-GRY,IS,Grýtubakkahreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-HAF,IS,Hafnarfjarðarkaupstaður,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-HRG,IS,Hörgársveit,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-HRU,IS,Hrunamannahreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-HUG,IS,Húnabyggð,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-HUV,IS,Húnaþing vestra,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-HVA,IS,Hvalfjarðarsveit,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-HVE,IS,Hveragerðisbær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-ISA,IS,Ísafjarðarbær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-KAL,IS,Kaldrananeshreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-KJO,IS,Kjósarhreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-KOP,IS,Kópavogsbær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-LAN,IS,Langanesbyggð,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-MOS,IS,Mosfellsbær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-MUL,IS,Múlaþing,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-MYR,IS,Mýrdalshreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-NOR,IS,Norðurþing,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-RGE,IS,Rangárþing eystra,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-RGY,IS,Rangárþing ytra,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-RHH,IS,Reykhólahreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-RKN,IS,Reykjanesbær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-RKV,IS,Reykjavíkurborg,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SBT,IS,Svalbarðsstrandarhreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SDN,IS,Suðurnesjabær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SDV,IS,Súðavíkurhreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SEL,IS,Seltjarnarnesbær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SFA,IS,Sveitarfélagið Árborg,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SHF,IS,Sveitarfélagið Hornafjörður,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SKF,IS,Skaftárhreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SKG,IS,Skagabyggð,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SKO,IS,Skorradalshreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SKR,IS,Skagafjörður,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SNF,IS,Snæfellsbær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SOG,IS,Skeiða- og Gnúpverjahreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SOL,IS,Sveitarfélagið Ölfus,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SSS,IS,Sveitarfélagið Skagaströnd,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-STR,IS,Strandabyggð,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-STY,IS,Stykkishólmsbær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-SVG,IS,Sveitarfélagið Vogar,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-TAL,IS,Tálknafjarðarhreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-THG,IS,Þingeyjarsveit,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-TJO,IS,Tjörneshreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-VEM,IS,Vestmannaeyjabær,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-VER,IS,Vesturbyggð,\N,\N,\N,UTC+0,Atlantic/Reykjavik
IS-VOP,IS,Vopnafjarðarhreppur,\N,\N,\N,UTC+0,Atlantic/Reykjavik
