key,country,name,native_name,capital,population,timezone_utc,timezone_iana
CZ-643,CZ,Brno-venkov,\N,\N,\N,UTC+1,Europe/Prague
CZ-644,CZ,Břeclav,\N,\N,\N,UTC+1,Europe/Prague
CZ-645,CZ,Hodonín,\N,\N,\N,UTC+1,Europe/Prague
CZ-646,CZ,Vyškov,\N,\N,\N,UTC+1,Europe/Prague
CZ-647,CZ,Znojmo,\N,\N,\N,UTC+1,Europe/Prague
CZ-71,CZ,Olomoucky kraj,Olomoucký,1344413,635675,UTC+1,Europe/Prague
CZ-711,CZ,Jeseník,\N,\N,\N,UTC+1,Europe/Prague
CZ-712,CZ,Olomouc,\N,\N,\N,UTC+1,Europe/Prague
CZ-713,CZ,Prostějov,\N,\N,\N,UTC+1,Europe/Prague
CZ-714,CZ,Přerov,\N,\N,\N,UTC+1,Europe/Prague
CZ-715,CZ,Šumperk,\N,\N,\N,UTC+1,Europe/Prague
CZ-72,CZ,Zlinsky kraj,Zlínský,1337756,590784,UTC+1,Europe/Prague
CZ-721,CZ,Kroměříž,\N,\N,\N,UTC+1,Europe/Prague
CZ-722,CZ,Uherské Hradiště,\N,\N,\N,UTC+1,Europe/Prague
CZ-723,CZ,Vsetín,\N,\N,\N,UTC+1,Europe/Prague
CZ-724,CZ,Zlín,\N,\N,\N,UTC+1,Europe/Prague
CZ-80,CZ,Moravskoslezsky kraj,Moravskoslezský,1344233,312056,UTC+1,Europe/Prague
CZ-801,CZ,Bruntál,\N,\N,\N,UTC+1,Europe/Prague
CZ-802,CZ,Frýdek-Místek,\N,\N,\N,UTC+1,Europe/Prague
CZ-803,CZ,Karviná,\N,\N,\N,UTC+1,Europe/Prague
CZ-804,CZ,Nový Jičín,\N,\N,\N,UTC+1,Europe/Prague
CZ-805,CZ,Opava,\N,\N,\N,UTC+1,Europe/Prague
CZ-806,CZ,Ostrava-město,\N,\N,\N,UTC+1,Europe/Prague
